id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,F,1.0125,0.775,0.25,9.82310175,4.0539785,1.88524175,3.2601925,11.0
1,F,1.4875,1.2375,0.4125,32.375129,15.77649675,6.2652395,10.3475675,9.0
2,I,0.6625,0.55,0.2375,3.67126025,1.644271,0.9355335,1.190679,6.0
3,M,1.525,1.2,0.4125,30.40483875,13.65028425,7.484268,8.9300925,13.0
4,M,1.625,1.3,0.475,41.23434775,17.8885345,9.11436425,11.3398,12.0
5,M,0.875,0.6625,0.2,5.71242425,1.871067,1.31825175,1.70097,12.0
6,F,1.6125,1.2625,0.4,36.55668025,13.267566,9.128539,11.90679,14.0
7,F,1.4875,1.1875,0.375,30.107169,15.26620575,6.78970525,7.93786,9.0
8,F,1.4625,1.0875,0.45,25.69882175,9.695529,4.422522,9.07184,13.0
9,M,1.1625,0.875,0.3,12.530479,5.3580555,2.45223175,4.1673765,8.0
10,F,1.6125,1.2625,0.4125,37.364641,15.592225,8.49067525,9.4970825,10.0
11,M,1.325,1.0125,0.325,20.0997955,9.241937,4.706017,5.10291,8.0
12,M,1.4625,1.1875,0.3625,30.51823675,13.93377925,5.99591925,7.654365,10.0
13,M,0.9,0.675,0.2375,5.443104,2.211261,1.4458245,1.984465,10.0
14,F,1.175,0.9125,0.325,16.68368075,7.9095105,3.6003865,4.3941725,8.0
15,F,1.025,0.7875,0.2625,8.618248,4.63514325,1.7293195,2.5231055,6.0
16,I,1.275,1.0,0.3625,18.86659225,8.66077225,2.73572675,6.23689,8.0
17,M,1.5,1.15,0.3625,27.54153925,12.94154675,6.123492,7.83863675,9.0
18,I,0.9,0.6875,0.2375,6.0384435,2.2963095,1.23320325,1.984465,5.0
19,F,1.5,1.1875,0.4125,31.90736225,15.762322,6.7755305,8.788345,10.0
20,I,0.725,0.525,0.2,3.16096925,1.26155275,0.75126175,0.850485,3.0
21,I,1.075,0.8625,0.2625,12.99824575,5.9250455,2.3530085,3.40194,7.0
22,M,1.2,0.95,0.3125,16.42853525,7.3425205,4.025629,3.96893,6.0
23,I,0.675,0.4875,0.175,2.16873675,0.80796075,0.4819415,0.69456275,6.0
24,I,1.1125,0.825,0.25,10.432616,4.8477645,2.097863,2.891649,7.0
25,M,1.2125,0.9625,0.2875,18.5689225,11.8784405,3.7137845,4.3941725,8.0
26,F,1.5625,1.2125,0.5,35.02580725,13.93377925,7.597666,11.90679,12.0
27,I,0.95,0.725,0.2375,6.30776375,2.84912475,1.4458245,2.1262125,7.0
28,I,0.9625,0.725,0.2875,9.07184,4.309124,1.8427175,2.16873675,8.0
29,I,1.2,0.925,0.3,15.03940975,6.2652395,3.86970675,4.025629,9.0
30,I,1.15,0.9125,0.275,12.984071,5.74077375,2.8632995,3.55786225,7.0
31,I,1.1,0.875,0.325,11.89261525,4.43669675,3.3168915,3.685435,12.0
32,M,1.4625,1.15,0.3875,28.0376555,12.3320325,6.23689,7.5126175,8.0
33,M,1.4125,1.1125,0.4375,24.70658925,8.88756825,6.90310325,9.355335,14.0
34,M,1.3125,1.025,0.4375,20.6100865,8.60407325,4.55009475,4.9611625,12.0
35,I,0.7125,0.525,0.1625,3.0900955,1.54504775,0.63786375,0.9922325,5.0
36,I,1.2625,0.975,0.3625,19.7029025,8.09378225,3.86970675,7.2291225,8.0
37,F,1.5625,1.2,0.4125,36.61337925,16.00329275,8.60407325,8.9300925,10.0
38,I,1.3375,1.0,0.3,20.28406725,9.02931575,4.5075705,5.2446575,7.0
39,F,1.3,1.05,0.375,21.13455225,7.98038425,3.52951275,7.93786,14.0
40,I,1.0125,0.775,0.225,8.66077225,3.8271825,1.80019325,2.1829115,6.0
41,I,0.9625,0.7625,0.2625,7.49844275,3.1467945,1.68679525,2.4097075,6.0
42,F,1.1,0.8625,0.3,13.8062065,5.386405,3.0333965,3.5436875,10.0
43,F,1.5125,1.225,0.4,32.72949775,13.02659525,7.484268,8.448151,10.0
44,I,0.8375,0.625,0.1875,4.819415,2.11203775,1.09145575,1.417475,7.0
45,M,1.25,0.9625,0.35,19.107563,8.334753,3.18931875,5.10291,13.0
46,M,1.4125,1.1,0.35,20.638436,7.314171,4.32329875,6.6621325,10.0
47,M,1.175,0.8625,0.2625,13.8062065,6.577084,2.62232875,3.40194,9.0
48,I,0.7,0.5125,0.175,3.8838815,1.54504775,0.89300925,1.13398,5.0
49,F,1.525,1.2875,0.425,33.26813825,13.947954,6.4353365,11.056305,12.0
50,F,1.6,1.2625,0.4125,37.98833,14.35902175,9.22776225,9.4970825,10.0
51,I,0.925,0.6875,0.2,7.6827145,3.061746,1.77184375,1.984465,6.0
52,F,1.5125,1.1875,0.3625,31.3261975,12.91319725,7.07320025,7.61184075,9.0
53,F,1.45,1.1375,0.4125,31.75144,11.453198,7.257472,10.61688775,15.0
54,M,1.2875,0.9625,0.3125,17.70426275,8.32057825,4.3374735,3.96893,7.0
55,I,0.7375,0.5375,0.2,3.98310475,1.60174675,0.8788345,1.417475,7.0
56,I,0.8625,0.6375,0.175,5.3013565,2.19708625,1.14815475,1.417475,7.0
57,I,0.8375,0.6625,0.225,5.10291,2.1262125,1.417475,1.984465,8.0
58,M,1.6375,1.2875,0.4375,39.9444455,16.612807,8.83086925,10.98543125,13.0
59,I,1.1875,0.9,0.275,12.54465375,4.89028875,2.721552,3.8271825,7.0
60,I,0.9875,0.775,0.2,9.31281075,4.03980375,1.88524175,2.05533875,7.0
61,F,1.3,1.025,0.35,18.80989325,8.40562675,4.52174525,5.59902625,11.0
62,I,0.875,0.6625,0.225,6.180191,2.36718325,1.77184375,1.984465,7.0
63,I,0.775,0.575,0.1875,4.309124,1.60174675,0.86465975,1.304077,6.0
64,F,1.5375,1.2125,0.4,35.22425375,15.06775925,8.051258,9.355335,11.0
65,F,1.425,1.125,0.4125,24.8625115,9.87980075,5.9817445,7.2291225,14.0
66,M,1.4,1.1,0.3875,24.36639525,9.6671795,5.273007,7.030676,10.0
67,F,1.4625,1.175,0.4625,27.93843225,12.2186345,6.95980225,8.3631025,10.0
68,M,1.3875,1.1125,0.3625,24.607366,11.69416875,5.386405,6.520385,9.0
69,I,1.075,0.85,0.275,11.2547515,5.6982495,2.11203775,3.40194,6.0
70,M,1.5125,1.175,0.3875,29.937072,12.23280925,7.7394135,9.2135875,10.0
71,M,1.625,1.275,0.4125,37.74735925,16.839603,9.015141,10.999606,10.0
72,F,1.325,1.075,0.325,19.4038725,8.334753,4.819415,5.10291,10.0
73,M,1.4625,1.15,0.5125,40.78075575,11.43902325,5.499803,14.17475,22.0
74,M,1.3875,1.0375,0.325,22.5378525,12.3887315,4.819415,5.8116475,9.0
75,I,1.1875,0.9375,0.3125,13.04077,5.74077375,3.30271675,4.819415,7.0
76,M,1.6375,1.2125,0.425,38.215126,19.391058,7.52679225,9.07184,11.0
77,F,1.45,1.1125,0.45,28.689694,13.16834275,7.07320025,8.221355,10.0
78,M,1.5125,1.2,0.4,27.499015,9.6671795,7.6260155,8.80251975,12.0
79,M,1.425,1.175,0.4125,25.4295015,10.6877615,6.5487345,8.221355,10.0
80,I,1.4875,1.15,0.3625,23.586784,10.886208,4.479221,6.80388,10.0
81,M,1.4625,1.175,0.4625,31.014353,11.49572225,6.3786375,11.623295,18.0
82,F,1.5625,1.1875,0.4875,34.5580405,17.93105875,7.3992195,8.71747125,10.0
83,F,1.625,1.4125,0.4375,44.395317,22.80717275,9.128539,11.7650425,11.0
