id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,F,1.425,1.1375,0.3375,28.2644515,14.0330025,5.2446575,7.47009325,8.0
1,F,1.7,1.3625,0.4375,49.68249875,17.19397175,9.22776225,18.5689225,15.0
2,F,1.2125,0.9125,0.3125,14.2030995,6.7755305,3.6003865,3.685435,7.0
3,I,1.1625,0.8875,0.3,14.10387625,6.0384435,2.28213475,3.96893,8.0
4,F,1.625,1.3125,0.425,38.96638775,18.9091165,8.561549,12.03436275,9.0
5,M,1.375,0.9875,0.375,22.58037675,9.87980075,4.9044635,6.3786375,9.0
6,M,1.6375,1.2875,0.45,36.627554,16.20173925,8.83086925,11.056305,11.0
7,F,1.5125,1.2,0.4375,32.41765325,15.4504775,7.01650125,8.71747125,12.0
8,I,0.9,0.675,0.2,5.613201,2.19708625,0.963883,1.530873,6.0
9,M,1.6125,1.25,0.4,43.0628905,13.11164375,10.20582,12.48795475,15.0
10,F,1.425,1.1625,0.4125,25.44367625,11.679994,5.8116475,6.80388,11.0
11,M,1.1125,0.85,0.2375,11.94931425,4.89028875,2.6932025,3.4869885,7.0
12,M,1.4875,1.2125,0.3875,36.7693015,16.612807,8.2497045,8.788345,10.0
13,F,1.4125,1.1,0.4,25.51455,11.86426575,5.06038575,7.087375,10.0
14,M,1.0125,0.75,0.2625,8.8733935,3.855532,1.77184375,2.324659,10.0
15,F,1.375,1.0625,0.3375,20.25571775,7.824462,5.556502,6.0951425,11.0
16,F,1.4375,1.1625,0.375,27.54153925,11.3398,7.07320025,7.41339425,12.0
17,F,1.0375,0.8125,0.275,10.95708175,4.37999775,1.871067,3.118445,9.0
18,M,1.275,1.0125,0.375,21.44639675,6.76135575,5.216308,7.3425205,16.0
19,F,1.625,1.3125,0.4,37.137845,14.44407025,8.845044,11.1980525,11.0
20,F,1.3,1.0125,0.375,24.76328825,7.10154975,5.273007,8.221355,15.0
21,F,1.6125,1.25,0.475,36.1456125,16.0741665,7.95203475,10.20582,12.0
